Date,Close
2019-10-09,193.51
2019-10-10,193.06
2019-10-11,182.75
2019-10-12,182.01
2019-10-13,182.53
2019-10-14,185.25
2019-10-15,179.35
2019-10-16,173.61
2019-10-17,175.87
2019-10-18,173.94
2019-10-19,170.33
2019-10-20,174.68
2019-10-21,175.14
2019-10-22,166.71
2019-10-23,160.24
2019-10-24,160.24
2019-10-25,186.61
2019-10-26,178.31
2019-10-27,184.8
2019-10-28,184.27
2019-10-29,189.7
2019-10-30,182.88
2019-10-31,180.7
2019-11-01,183.25
2019-11-02,184.4
2019-11-03,181.36
2019-11-04,186.24
2019-11-05,189.89
2019-11-06,189.38
2019-11-07,187.8
2019-11-08,184.41
2019-11-09,183.97
2019-11-10,188.9
2019-11-11,185.13
2019-11-12,185.13
2019-11-13,187.27
2019-11-14,181.75
2019-11-15,179.63
2019-11-16,181.68
2019-11-17,182.95
2019-11-18,176.89
2019-11-19,176.89
2019-11-20,175.0
2019-11-21,175.0
2019-11-22,151.89
2019-11-23,150.13
2019-11-24,136.82
2019-11-25,149.13
2019-11-26,145.41
2019-11-27,152.59
2019-11-28,152.63
2019-11-29,154.1
2019-11-30,146.89
2019-12-01,150.2
2019-12-02,149.3
2019-12-03,144.76
2019-12-04,144.99
2019-12-05,144.99
2019-12-06,148.69
2019-12-07,146.97
2019-12-08,150.48
2019-12-09,147.13
2019-12-10,145.22
2019-12-11,141.9
2019-12-12,141.9
2019-12-13,144.5
2019-12-14,140.93
2019-12-15,141.29
2019-12-16,141.29
2019-12-17,123.85
2019-12-18,129.29
2019-12-19,129.29
2019-12-20,127.5
2019-12-21,127.26
2019-12-22,133.74
2019-12-23,127.77
2019-12-24,125.73
2019-12-25,124.28
2019-12-26,126.1
2019-12-27,126.93
2019-12-28,127.86
2019-12-29,133.94
2019-12-30,130.91
2019-12-31,129.83
2020-01-01,128.62
2020-01-02,126.4
2020-01-03,133.36
2020-01-04,136.06
2020-01-05,139.38
2020-01-06,143.65
2020-01-07,144.77
2020-01-08,139.81
2020-01-09,136.56
2020-01-10,143.79
2020-01-11,143.86
2020-01-12,143.55
2020-01-13,149.24
2020-01-14,162.78
2020-01-15,159.77
2020-01-16,164.86
2020-01-17,171.76
2020-01-18,176.26
2020-01-19,165.24
2020-01-20,167.62
2020-01-21,168.4
2020-01-22,164.86
2020-01-23,159.13
2020-01-24,158.89
2020-01-25,161.18
2020-01-26,167.45
2020-01-27,172.8
2020-01-28,176.4
2020-01-29,172.98
2020-01-30,183.01
2020-01-31,182.65
2020-02-01,180.34
2020-02-02,191.42
2020-02-03,187.58
2020-02-04,189.05
2020-02-05,206.26
2020-02-06,217.06
2020-02-07,217.56
2020-02-08,228.86
2020-02-09,225.41
2020-02-10,218.8
2020-02-11,245.15
2020-02-12,269.9
2020-02-13,266.6
2020-02-14,282.62
2020-02-15,271.17
2020-02-16,249.76
2020-02-17,268.9
2020-02-18,280.29
2020-02-19,260.87
2020-02-20,262.66
2020-02-21,263.02
2020-02-22,265.74
2020-02-23,268.54
2020-02-24,261.9
2020-02-25,238.72
2020-02-26,218.53
2020-02-27,230.08
2020-02-28,230.58
2020-02-29,223.69
2020-03-01,218.82
2020-03-02,231.97
2020-03-03,226.38
2020-03-04,226.8
2020-03-05,229.67
2020-03-06,244.46
2020-03-07,231.69
2020-03-08,201.83
2020-03-09,202.63
2020-03-10,201.84
2020-03-11,183.11
2020-03-12,135.47
2020-03-13,134.39
2020-03-14,121.05
2020-03-15,122.0
2020-03-16,117.69
2020-03-17,117.77
2020-03-18,116.33
2020-03-19,135.15
2020-03-20,134.24
2020-03-21,135.95
2020-03-22,125.14
2020-03-23,134.71
2020-03-24,136.25
2020-03-25,137.67
2020-03-26,139.77
2020-03-27,126.29
2020-03-28,130.44
2020-03-29,126.97
2020-03-30,132.51
2020-03-31,132.92
2020-04-01,136.6
2020-04-02,141.72
2020-04-03,140.18
2020-04-04,144.27
2020-04-05,144.21
2020-04-06,171.24
2020-04-07,172.21
2020-04-08,170.44
2020-04-09,163.71
2020-04-10,160.38
2020-04-11,156.25
2020-04-12,152.59
2020-04-13,158.32
2020-04-14,160.62
2020-04-15,153.26
2020-04-16,171.74
2020-04-17,173.36
2020-04-18,187.85
2020-04-19,184.34
2020-04-20,172.06
2020-04-21,171.83
2020-04-22,183.37
2020-04-23,188.41
2020-04-24,188.45
2020-04-25,195.03
2020-04-26,197.64
2020-04-27,194.51
2020-04-28,198.4
2020-04-29,225.98
2020-04-30,208.78
2020-05-01,213.4
2020-05-02,218.25
2020-05-03,203.98
2020-05-04,206.49
2020-05-05,206.83
2020-05-06,205.31
2020-05-07,213.16
2020-05-08,213.98
2020-05-09,186.14
2020-05-10,189.06
2020-05-11,188.86
2020-05-12,190.79
2020-05-13,199.25
2020-05-14,199.44
2020-05-15,198.88
2020-05-16,201.53
2020-05-17,215.14
2020-05-18,210.18
2020-05-19,212.76
2020-05-20,208.9
2020-05-21,196.84
2020-05-22,209.86
2020-05-23,209.23
2020-05-24,202.38
2020-05-25,204.96
2020-05-26,201.82
2020-05-27,206.42
2020-05-28,221.95
2020-05-29,222.87
2020-05-30,237.41
2020-05-31,238.68
2020-06-01,247.3
2020-06-02,235.73
2020-06-03,245.55
2020-06-04,242.44
2020-06-05,240.11
2020-06-06,243.26
2020-06-07,244.27
2020-06-08,243.46
2020-06-09,243.99
2020-06-10,248.14
2020-06-11,233.24
2020-06-12,235.79
2020-06-13,237.66
2020-06-14,225.47
2020-06-15,233.03
2020-06-16,232.77
2020-06-17,233.31
2020-06-18,227.54
2020-06-19,230.29
2020-06-20,229.6
2020-06-21,234.25
2020-06-22,242.74
2020-06-23,245.19
2020-06-24,229.42
2020-06-25,232.2
2020-06-26,229.45
2020-06-27,219.23
2020-06-28,224.39
2020-06-29,227.26
2020-06-30,225.57
2020-07-01,231.17
2020-07-02,226.52
2020-07-03,226.18
2020-07-04,228.19
2020-07-05,227.84
2020-07-06,239.49
2020-07-07,241.75
2020-07-08,244.82
2020-07-09,240.18
2020-07-10,240.3
2020-07-11,240.91
2020-07-12,241.55
2020-07-13,238.85
2020-07-14,239.29
2020-07-15,238.18
2020-07-16,233.23
2020-07-17,233.12
2020-07-18,235.24
2020-07-19,238.91
2020-07-20,236.88
2020-07-21,244.8
2020-07-22,264.26
2020-07-23,273.54
2020-07-24,283.45
2020-07-25,303.14
2020-07-26,325.83
2020-07-27,320.15
2020-07-28,316.59
2020-07-29,316.64
2020-07-30,329.46
2020-07-31,352.6
2020-08-01,408.37
2020-08-02,379.35
2020-08-03,391.28
2020-08-04,389.6
2020-08-05,396.13
2020-08-06,396.14
2020-08-07,378.35
2020-08-08,396.03
2020-08-09,398.13
2020-08-10,394.17
2020-08-11,377.83
2020-08-12,395.0
2020-08-13,421.67
2020-08-14,439.68
2020-08-15,426.78
2020-08-16,427.09
2020-08-17,430.83
2020-08-18,415.62
2020-08-19,407.0
2020-08-20,416.44
2020-08-21,385.45
2020-08-22,390.23
2020-08-23,393.39
2020-08-24,401.32
2020-08-25,386.57
2020-08-26,384.45
2020-08-27,386.55
2020-08-28,394.86
2020-08-29,405.16
2020-08-30,425.68
2020-08-31,443.88
2020-09-01,470.28
2020-09-02,443.19
2020-09-03,383.69
2020-09-04,387.58
2020-09-05,328.75
